Station,Latitude,Longitude,Line,Mean Weekday Ridership 2013,Borough
Wakefield-241st St,40.903125,-73.85062,2,4825,Bronx
Wall St,40.707557,-74.011862,"4,5",25078,Manhattan
Wall St,40.706821,-74.0091,"2,3",26706,Manhattan
West 4 St-Washington Sq,40.732338,-74.000495,"A,B,C,D,E,F,M",40798,Manhattan
West 8 St-New York Aquarium,40.576127,-73.975939,"F,Q",2069,Brooklyn
West Farms Sq-East Tremont Av,40.840295,-73.880049,"2,5",7979,Bronx
Westchester Sq-East Tremont Av,40.839892,-73.842952,6,6820,Bronx
Whitlock Av,40.826525,-73.886283,6,1685,Bronx
Wilson Av,40.688764,-73.904046,L,3865,Brooklyn
Winthrop St,40.656652,-73.9502,"2,5",7639,Brooklyn
Woodhaven Blvd,40.693879,-73.851576,"J,Z",4576,Queens
Woodhaven Blvd,40.733106,-73.869229,"M,R",22276,Queens
Woodlawn,40.886037,-73.878751,4,7776,Bronx
Woodside Av-61 St,40.74563,-73.902984,7,16559,Queens
York St,40.699743,-73.986885,F,8629,Brooklyn
Zerega Av,40.836488,-73.847036,6,3253,Bronx
